gl_entry_id,transaction_id,transaction_type,reference_number,gl_date,account_number,account_name,debit_amount,credit_amount,third_party_id,third_party_name,contract_id,legal_entity_id,legal_entity_name,cost_center_id,cost_center_name,category,created_timestamp
SPEND-PMT-60000010-1,60000010,SPEND_PAYMENT,PAY600000102106,2024-11-16,1000,Cash,0,105,30000009,Global Supplier Consulting,40001711,100001,Acme Corporation,1006,Finance,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000010-2,60000010,SPEND_PAYMENT,PAY600000102106,2024-11-16,2000,Accounts Payable,105,0,30000009,Global Supplier Consulting,40001711,100001,Acme Corporation,1006,Finance,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000017-1,60000017,SPEND_PAYMENT,PAY600000177998,2024-10-14,1000,Cash,0,233.15,30000189,"Russell, Vendor Inc",40000365,100001,Acme Corporation,1005,R&D,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000017-2,60000017,SPEND_PAYMENT,PAY600000177998,2024-10-14,2000,Accounts Payable,233.15,0,30000189,"Russell, Vendor Inc",40000365,100001,Acme Corporation,1005,R&D,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000018-1,60000018,SPEND_PAYMENT,PAY600000181442,2024-11-08,1000,Cash,0,2022.42,30000277,American Investment Advisors,40002083,100005,Enterprise Solutions Group,1004,Engineering,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000018-2,60000018,SPEND_PAYMENT,PAY600000181442,2024-11-08,2000,Accounts Payable,2022.42,0,30000277,American Investment Advisors,40002083,100005,Enterprise Solutions Group,1004,Engineering,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000030-1,60000030,SPEND_PAYMENT,PAY600000303503,2024-11-22,1000,Cash,0,275.27,30000132,American Investment Financial,40002864,100002,Global Industries Inc,1004,Engineering,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000030-2,60000030,SPEND_PAYMENT,PAY600000303503,2024-11-22,2000,Accounts Payable,275.27,0,30000132,American Investment Financial,40002864,100002,Global Industries Inc,1004,Engineering,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000039-1,60000039,SPEND_PAYMENT,PAY600000399390,2025-01-21,1000,Cash,0,108.5,30000009,Global Supplier Consulting,40000223,100003,TechVentures LLC,1002,Sales Department,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000039-2,60000039,SPEND_PAYMENT,PAY600000399390,2025-01-21,2000,Accounts Payable,108.5,0,30000009,Global Supplier Consulting,40000223,100003,TechVentures LLC,1002,Sales Department,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000041-1,60000041,SPEND_PAYMENT,PAY600000419520,2024-09-16,1000,Cash,0,189.08,30000122,Ramseymouth Bank Co,40000745,100005,Enterprise Solutions Group,1001,Corporate,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000041-2,60000041,SPEND_PAYMENT,PAY600000419520,2024-09-16,2000,Accounts Payable,189.08,0,30000122,Ramseymouth Bank Co,40000745,100005,Enterprise Solutions Group,1001,Corporate,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000048-1,60000048,SPEND_PAYMENT,PAY600000484553,2024-09-22,1000,Cash,0,1825.71,30000206,Tinaborough Credit Associates,40000528,100002,Global Industries Inc,1003,Marketing Department,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000048-2,60000048,SPEND_PAYMENT,PAY600000484553,2024-09-22,2000,Accounts Payable,1825.71,0,30000206,Tinaborough Credit Associates,40000528,100002,Global Industries Inc,1003,Marketing Department,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000054-1,60000054,SPEND_PAYMENT,PAY600000545847,2024-11-05,1000,Cash,0,108.5,30000009,Global Supplier Consulting,40000223,100002,Global Industries Inc,1000,Executive,subcontractor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000054-2,60000054,SPEND_PAYMENT,PAY600000545847,2024-11-05,2000,Accounts Payable,108.5,0,30000009,Global Supplier Consulting,40000223,100002,Global Industries Inc,1000,Executive,subcontractor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000055-1,60000055,SPEND_PAYMENT,PAY600000551648,2024-11-25,1000,Cash,0,3176.6,30000271,"Graham, Tax Services Corp",40001556,100003,TechVentures LLC,1000,Executive,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000055-2,60000055,SPEND_PAYMENT,PAY600000551648,2024-11-25,2000,Accounts Payable,3176.6,0,30000271,"Graham, Tax Services Corp",40001556,100003,TechVentures LLC,1000,Executive,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000056-1,60000056,SPEND_PAYMENT,PAY600000569865,2024-11-03,1000,Cash,0,2042.04,30000386,Summers & Olson Associates,40000451,100003,TechVentures LLC,1001,Corporate,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000056-2,60000056,SPEND_PAYMENT,PAY600000569865,2024-11-03,2000,Accounts Payable,2042.04,0,30000386,Summers & Olson Associates,40000451,100003,TechVentures LLC,1001,Corporate,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000057-1,60000057,SPEND_PAYMENT,PAY600000577466,2024-10-11,1000,Cash,0,1278.92,30000230,"Branch, Bank Advisors",40001440,100004,International Holdings Ltd,1007,Manufacturing,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000057-2,60000057,SPEND_PAYMENT,PAY600000577466,2024-10-11,2000,Accounts Payable,1278.92,0,30000230,"Branch, Bank Advisors",40001440,100004,International Holdings Ltd,1007,Manufacturing,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000060-1,60000060,SPEND_PAYMENT,PAY600000609587,2024-10-08,1000,Cash,0,1617.43,30000025,Miller Insurance,40001038,100001,Acme Corporation,1002,Sales Department,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000060-2,60000060,SPEND_PAYMENT,PAY600000609587,2024-10-08,2000,Accounts Payable,1617.43,0,30000025,Miller Insurance,40001038,100001,Acme Corporation,1002,Sales Department,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000070-1,60000070,SPEND_PAYMENT,PAY600000704692,2024-09-01,1000,Cash,0,587.13,30000338,Williamson Credit,40001972,100001,Acme Corporation,1003,Marketing Department,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000070-2,60000070,SPEND_PAYMENT,PAY600000704692,2024-09-01,2000,Accounts Payable,587.13,0,30000338,Williamson Credit,40001972,100001,Acme Corporation,1003,Marketing Department,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000078-1,60000078,SPEND_PAYMENT,PAY600000788980,2024-10-19,1000,Cash,0,821.02,30000367,Global Insurance Consulting,40000730,100002,Global Industries Inc,1006,Finance,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000078-2,60000078,SPEND_PAYMENT,PAY600000788980,2024-10-19,2000,Accounts Payable,821.02,0,30000367,Global Insurance Consulting,40000730,100002,Global Industries Inc,1006,Finance,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000080-1,60000080,SPEND_PAYMENT,PAY600000804136,2024-11-15,1000,Cash,0,2815.31,30000322,Pollard Credit,40001924,100004,International Holdings Ltd,1001,Corporate,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000080-2,60000080,SPEND_PAYMENT,PAY600000804136,2024-11-15,2000,Accounts Payable,2815.31,0,30000322,Pollard Credit,40001924,100004,International Holdings Ltd,1001,Corporate,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000081-1,60000081,SPEND_PAYMENT,PAY600000819119,2024-10-26,1000,Cash,0,100,30000038,American Consulting Advisors,40002558,100001,Acme Corporation,1000,Executive,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000081-2,60000081,SPEND_PAYMENT,PAY600000819119,2024-10-26,2000,Accounts Payable,100,0,30000038,American Consulting Advisors,40002558,100001,Acme Corporation,1000,Executive,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000083-1,60000083,SPEND_PAYMENT,PAY600000837399,2024-11-22,1000,Cash,0,10219.1,30000144,American Leasing Consulting,40002650,100005,Enterprise Solutions Group,1000,Executive,subcontractor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000083-2,60000083,SPEND_PAYMENT,PAY600000837399,2024-11-22,2000,Accounts Payable,10219.1,0,30000144,American Leasing Consulting,40002650,100005,Enterprise Solutions Group,1000,Executive,subcontractor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000085-1,60000085,SPEND_PAYMENT,PAY600000857912,2024-12-31,1000,Cash,0,319.87,30000310,Grimesmouth Credit Corp,40002233,100004,International Holdings Ltd,1005,R&D,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000085-2,60000085,SPEND_PAYMENT,PAY600000857912,2024-12-31,2000,Accounts Payable,319.87,0,30000310,Grimesmouth Credit Corp,40002233,100004,International Holdings Ltd,1005,R&D,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000086-1,60000086,SPEND_PAYMENT,PAY600000869852,2024-11-05,1000,Cash,0,918.09,30000244,Jones-Hall Consulting Consulting,40002648,100002,Global Industries Inc,1002,Sales Department,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000086-2,60000086,SPEND_PAYMENT,PAY600000869852,2024-11-05,2000,Accounts Payable,918.09,0,30000244,Jones-Hall Consulting Consulting,40002648,100002,Global Industries Inc,1002,Sales Department,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000088-1,60000088,SPEND_PAYMENT,PAY600000882505,2024-11-21,1000,Cash,0,91.04,30000168,Lake Credit Corp,40002194,100005,Enterprise Solutions Group,1005,R&D,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000088-2,60000088,SPEND_PAYMENT,PAY600000882505,2024-11-21,2000,Accounts Payable,91.04,0,30000168,Lake Credit Corp,40002194,100005,Enterprise Solutions Group,1005,R&D,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000091-1,60000091,SPEND_PAYMENT,PAY600000916543,2024-11-03,1000,Cash,0,411.25,30000385,Scott Leasing,40000478,100005,Enterprise Solutions Group,1000,Executive,subcontractor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000091-2,60000091,SPEND_PAYMENT,PAY600000916543,2024-11-03,2000,Accounts Payable,411.25,0,30000385,Scott Leasing,40000478,100005,Enterprise Solutions Group,1000,Executive,subcontractor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000092-1,60000092,SPEND_PAYMENT,PAY600000927608,2024-09-30,1000,Cash,0,627.95,30000158,Turner & Sutton Corporation,40000031,100003,TechVentures LLC,1003,Marketing Department,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000092-2,60000092,SPEND_PAYMENT,PAY600000927608,2024-09-30,2000,Accounts Payable,627.95,0,30000158,Turner & Sutton Corporation,40000031,100003,TechVentures LLC,1003,Marketing Department,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000101-1,60000101,SPEND_PAYMENT,PAY600001017380,2024-10-18,1000,Cash,0,2007.52,30000228,American Leasing Solutions,40000160,100003,TechVentures LLC,1004,Engineering,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000101-2,60000101,SPEND_PAYMENT,PAY600001017380,2024-10-18,2000,Accounts Payable,2007.52,0,30000228,American Leasing Solutions,40000160,100003,TechVentures LLC,1004,Engineering,labor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000109-1,60000109,SPEND_PAYMENT,PAY600001091876,2024-11-13,1000,Cash,0,5187.11,30000345,North Insurance Advisors,40000760,100001,Acme Corporation,1004,Engineering,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000109-2,60000109,SPEND_PAYMENT,PAY600001091876,2024-11-13,2000,Accounts Payable,5187.11,0,30000345,North Insurance Advisors,40000760,100001,Acme Corporation,1004,Engineering,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000117-1,60000117,SPEND_PAYMENT,PAY600001177704,2024-10-08,1000,Cash,0,107,30000088,American Leasing Advisors,40002407,100002,Global Industries Inc,1007,Manufacturing,subcontractor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000117-2,60000117,SPEND_PAYMENT,PAY600001177704,2024-10-08,2000,Accounts Payable,107,0,30000088,American Leasing Advisors,40002407,100002,Global Industries Inc,1007,Manufacturing,subcontractor,2025-10-15T03:08:38.018Z
SPEND-PMT-60000121-1,60000121,SPEND_PAYMENT,PAY600001212397,2025-01-02,1000,Cash,0,1573.59,30000122,Ramseymouth Bank Co,40002982,100005,Enterprise Solutions Group,1000,Executive,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000121-2,60000121,SPEND_PAYMENT,PAY600001212397,2025-01-02,2000,Accounts Payable,1573.59,0,30000122,Ramseymouth Bank Co,40002982,100005,Enterprise Solutions Group,1000,Executive,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000134-1,60000134,SPEND_PAYMENT,PAY600001343903,2024-10-30,1000,Cash,0,451.75,30000132,American Investment Financial,40002864,100003,TechVentures LLC,1005,R&D,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000134-2,60000134,SPEND_PAYMENT,PAY600001343903,2024-10-30,2000,Accounts Payable,451.75,0,30000132,American Investment Financial,40002864,100003,TechVentures LLC,1005,R&D,materials,2025-10-15T03:08:38.018Z
SPEND-PMT-60000136-1,60000136,SPEND_PAYMENT,PAY600001362700,2024-11-09,1000,Cash,0,701.17,30000028,Williams & Perez Co,40002988,100001,Acme Corporation,1002,Sales Department,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000136-2,60000136,SPEND_PAYMENT,PAY600001362700,2024-11-09,2000,Accounts Payable,701.17,0,30000028,Williams & Perez Co,40002988,100001,Acme Corporation,1002,Sales Department,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000139-1,60000139,SPEND_PAYMENT,PAY600001395260,2024-11-12,1000,Cash,0,108.5,30000347,East Bank Associates,40000409,100001,Acme Corporation,1005,R&D,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000139-2,60000139,SPEND_PAYMENT,PAY600001395260,2024-11-12,2000,Accounts Payable,108.5,0,30000347,East Bank Associates,40000409,100001,Acme Corporation,1005,R&D,overhead,2025-10-15T03:08:38.018Z
SPEND-PMT-60000146-1,60000146,SPEND_PAYMENT,PAY600001461664,2024-11-20,1000,Cash,0,279.64,30000217,Jackton Leasing LLC,40000261,100003,TechVentures LLC,1003,Marketing Department,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000146-2,60000146,SPEND_PAYMENT,PAY600001461664,2024-11-20,2000,Accounts Payable,279.64,0,30000217,Jackton Leasing LLC,40000261,100003,TechVentures LLC,1003,Marketing Department,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000147-1,60000147,SPEND_PAYMENT,PAY600001479462,2024-10-17,1000,Cash,0,6906.96,30000028,Williams & Perez Co,40000020,100001,Acme Corporation,1003,Marketing Department,equipment,2025-10-15T03:08:38.018Z
SPEND-PMT-60000147-2,60000147,SPEND_PAYMENT,PAY600001479462,2024-10-17,2000,Accounts Payable,6906.96,0,30000028,Williams & Perez Co,40000020,100001,Acme Corporation,1003,Marketing Department,equipment,2025-10-15T03:08:38.018Z
