contract_id,contract_number,third_party_id,third_party_name,agreement_type,contract_type,contract_description,contract_currency,total_contract_value,contract_start_date,estimated_completion_date,contract_status,legal_entity_id,legal_entity_name,payment_terms
30000000,OUT000000,10000261,Kennedy & Santana Group,Outbound,Cost-Plus,Custom manufacturing services,USD,1551775.23,2023-06-08,2024-01-18,Completed,100004,International Holdings Ltd,Net-45
30000001,OUT000001,10000196,American Bank Co,Outbound,Fixed-Price,Infrastructure upgrade and installation project,USD,1670886.57,2023-02-28,2023-05-20,Completed,100004,International Holdings Ltd,Net-60
30000002,OUT000002,10000113,Lee-Davis Supplier Corporation,Outbound,Fixed-Price,Construction and delivery of commercial building project,USD,693208.65,2024-06-04,2024-09-24,Completed,100004,International Holdings Ltd,Net-30
30000003,OUT000003,10000073,Teresaburgh Benefits Provider Corp,Outbound,Time-and-Materials,Ongoing consulting and advisory services,USD,725910.35,2025-06-30,2027-03-05,Active,100002,Global Industries Inc,Net-60
30000004,OUT000004,10000246,Fisher Benefits Provider Associates,Outbound,Cost-Plus,Complex engineering project with variable scope,USD,1091686.56,2025-08-15,2026-06-08,Active,100004,International Holdings Ltd,Net-60
30000005,OUT000005,10000133,Global Credit Services,Outbound,Cost-Plus,Research and development project,USD,1330960.68,2024-04-13,2025-04-01,Completed,100002,Global Industries Inc,Net-30
30000006,OUT000006,10000252,American Leasing Services,Outbound,Fixed-Price,Product manufacturing and delivery contract,USD,1114940.61,2024-06-02,2025-03-30,Completed,100003,TechVentures LLC,Net-30
30000007,OUT000007,10000119,Global Insurance Inc,Outbound,Time-and-Materials,Ongoing consulting and advisory services,USD,833744.42,2024-03-24,2025-10-31,Active,100002,Global Industries Inc,Net-60
30000008,OUT000008,10000181,Cassandramouth Auditing Company,Outbound,Cost-Plus,Custom manufacturing services,USD,717083.64,2025-06-18,2025-12-02,Active,100005,Enterprise Solutions Group,Net-30
30000009,OUT000009,10000115,American Vendor Associates,Outbound,Cost-Plus,Long-term service delivery contract,USD,882021.31,2024-12-04,2026-10-14,Active,100002,Global Industries Inc,Net-60
30000010,OUT000010,10000284,American Credit Corp,Outbound,Fixed-Price,Software development and implementation services,USD,1303606.31,2025-04-29,2026-03-08,Active,100003,TechVentures LLC,Net-45
30000011,OUT000011,10000291,Contreras & Travis Solutions,Outbound,Cost-Plus,Research and development project,USD,983408.46,2024-12-23,2026-04-04,Active,100002,Global Industries Inc,Net-30
30000012,OUT000012,10000213,Lee Auditing,Outbound,Cost-Plus,Custom manufacturing services,USD,683175.85,2024-01-14,2025-10-01,Completed,100002,Global Industries Inc,Net-60
30000013,OUT000013,10000037,Jackson & Daniel Solutions,Outbound,Time-and-Materials,IT support and maintenance services,USD,3073558.13,2025-03-26,2025-06-04,Completed,100005,Enterprise Solutions Group,Net-45
30000014,OUT000014,10000276,American Legal Services Services,Outbound,Time-and-Materials,IT support and maintenance services,USD,1829981.25,2025-06-24,2026-09-13,On-Hold,100003,TechVentures LLC,Net-60
30000015,OUT000015,10000122,Herrera & Taylor Corp,Outbound,Fixed-Price,Product manufacturing and delivery contract,USD,2762009.56,2023-01-26,2023-08-27,Completed,100002,Global Industries Inc,Net-60
30000016,OUT000016,10000246,Fisher Benefits Provider Associates,Outbound,Time-and-Materials,Ongoing consulting and advisory services,USD,748363.96,2024-12-19,2025-05-08,Completed,100002,Global Industries Inc,Net-45
30000017,OUT000017,10000204,Global Consulting Inc,Outbound,Time-and-Materials,IT support and maintenance services,USD,888139.25,2025-04-20,2026-01-08,Active,100002,Global Industries Inc,Net-60
30000018,OUT000018,10000038,American Consulting Advisors,Outbound,Time-and-Materials,Professional services engagement,USD,889496.29,2024-06-05,2025-08-18,Completed,100003,TechVentures LLC,Net-60
